(2, 1)
(4, 1)
(2, 6)
(4, 2)
(2, 16)
(1, 14)
(2, 7)
(4, 3)
(2, 16)
(1, 15)
(2, 7)
(1, 1)
(4, 1)
(2, 6)
(4, 2)
(2, 7)
(1, 5)
(4, 1)
(2, 24)
(3, 1)
(1, 6)
(3, 2)
(2, 8)
(1, 13)
(3, 1)
(2, 9)
(1, 8)
(1, 5)
(4, 2)
(2, 24)
(3, 1)
(1, 6)
(3, 2)
(2, 8)
(1, 13)
(3, 3)
(2, 9)
(1, 8)
(4, 3)
(2, 24)
(2, 10)
(4, 1)
(2, 15)
(4, 2)
(2, 11)
(2, 12)
(3, 1)
(1, 3)
(2, 10)
(2, 10)
(4, 3)
(2, 19)
(3, 4)
(2, 11)
(2, 3)
(2, 10)
(4, 2)
(2, 16)
(3, 1)
(2, 11)
(2, 11)
(1, 2)
(2, 10)
(4, 3)
(2, 11)
(2, 7)
(1, 9)
(1, 10)
(1, 9)
(1, 10)
(2, 2)
